academic_year,semester,school,jae_course_code,course_name,gender,intake
2018,S1,SCHOOL OF DESIGN,C63,VISUAL COMMUNICATION,M,12
2018,S1,SCHOOL OF ENGINEERING,C71,BIOMEDICAL ENGINEERING,F,15
2016,S1,SCHOOL OF ENGINEERING,C40,AEROSPACE / MECHATRONICS PROGRAMME,M,192
2016,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C61,ANIMATION,M,34
2016,S1,SCHOOL OF ENGINEERING,C51,AERONAUTICAL & AEROSPACE TECHNOLOGY,M,44
2016,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C72,DENTAL HYGIENE & THERAPY,F,16
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C98,ACCOUNTANCY & FINANCE,F,83
2016,S1,SCHOOL OF ENGINEERING,C52,AEROSPACE SYSTEMS & MANAGEMENT,F,14
2016,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C65,PHARMACEUTICAL SCIENCES,F,39
2016,S1,SCHOOL OF ENGINEERING,C48,ELECTRICAL ENGINEERING WITH ECO-DESIGN,F,14
2017,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C57,DIGITAL VISUAL EFFECTS,F,20
2017,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C70,GAME DEVELOPMENT & TECHNOLOGY,M,77
2017,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C70,GAME DEVELOPMENT & TECHNOLOGY,F,4
2017,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C59,INTERACTION DESIGN,M,29
2017,S1,SCHOOL OF INFORMATION TECHNOLOGY,C43,BUSINESS INTELLIGENCE & ANALYTICS,M,20
2017,S1,SCHOOL OF BUSINESS MANAGEMENT,C81,SPORT & WELLNESS MANAGEMENT,F,16
2017,S1,SCHOOL OF ENGINEERING,C75,MULTIMEDIA & INFOCOMM TECHNOLOGY,F,70
2017,S1,SCHOOL OF BUSINESS MANAGEMENT,C98,ACCOUNTANCY & FINANCE,M,58
2017,S1,SCHOOL OF INFORMATION TECHNOLOGY,C58,FINANCIAL INFORMATICS,F,35
2017,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C65,PHARMACEUTICAL SCIENCES,M,20
2017,S1,SCHOOL OF BUSINESS MANAGEMENT,C56,FUND MANAGEMENT & ADMINISTRATION,M,21
2017,S1,SCHOOL OF ENGINEERING,C89,ELECTRONIC SYSTEMS,F,13
2018,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C60,DIGITAL GAME ART & DESIGN,F,45
2018,S1,SCHOOL OF DESIGN,C83,INDUSTRIAL DESIGN,M,33
2018,S1,SCHOOL OF BUSINESS MANAGEMENT,C46,FOOD & BEVERAGE BUSINESS,M,44
2018,S1,SCHOOL OF ENGINEERING,C40,AEROSPACE/MECHATRONICS PROGRAMME,M,137
2018,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C61,ANIMATION,M,24
2018,S1,SCHOOL OF BUSINESS MANAGEMENT,C67,HOSPITALITY & TOURISM MANAGEMENT,F,82
2018,S1,SCHOOL OF INFORMATION TECHNOLOGY,C78,BUSINESS INFORMATICS,F,49
2018,S1,SCHOOL OF INFORMATION TECHNOLOGY,C78,BUSINESS INFORMATICS,M,53
2018,S1,SCHOOL OF ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,F,71
2018,S1,SCHOOL OF ENGINEERING,C48,ELECTRICAL ENGINEERING WITH ECO-DESIGN,F,15
2018,S1,SCHOOL OF ENGINEERING,C89,ELECTRONIC SYSTEMS,F,15
