academic_year,semester,school,jae_course_code,course_name,gender,intake
2016,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C57,DIGITAL VISUAL EFFECTS,F,17
2017,S1,SCHOOL OF DESIGN,C63,VISUAL COMMUNICATION,F,68
2017,S1,SCHOOL OF DESIGN,C63,VISUAL COMMUNICATION,M,13
2017,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C97,NURSING,M,136
2017,S1,SCHOOL OF BUSINESS MANAGEMENT,C81,SPORT & WELLNESS MANAGEMENT,M,38
2017,S1,SCHOOL OF ENGINEERING,C89,ELECTRONIC SYSTEMS,M,83
2017,S1,SCHOOL OF DESIGN,C83,INDUSTRIAL DESIGN,F,28
2017,S1,SCHOOL OF BUSINESS MANAGEMENT,C93,MASS MEDIA MANAGEMENT,F,40
2017,S1,SCHOOL OF BUSINESS MANAGEMENT,C94,BUSINESS MANAGEMENT,F,197
2017,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C69,FOOD SCIENCE & NUTRITION,F,50
2017,S1,SCHOOL OF INFORMATION TECHNOLOGY,C85,INFORMATION TECHNOLOGY,F,33
2017,S1,SCHOOL OF ENGINEERING,C41,ENGINEERING WITH BUSINESS,M,57
2017,S1,SCHOOL OF ENGINEERING,C53,TELEMATICS & MEDIA TECHNOLOGY,M,13
2017,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C72,ORAL HEALTH THERAPY,M,7
2018,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C49,BIOLOGICS & PROCESS TECHNOLOGY,M,19
2018,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C66,MOTION GRAPHICS & BROADCAST DESIGN,M,22
2018,S1,SCHOOL OF ENGINEERING,C52,AEROSPACE SYSTEMS & MANAGEMENT,M,38
2018,S1,SCHOOL OF ENGINEERING,C41,ENGINEERING WITH BUSINESS,M,52
2018,S1,SCHOOL OF BUSINESS MANAGEMENT,C96,BANKING & FINANCE,F,59
2018,S1,SCHOOL OF DESIGN,C63,VISUAL COMMUNICATION,F,74
